Description,GTEX-111YS-0426-SM-5987O,GTEX-1122O-0826-SM-5GICV,GTEX-117YX-1126-SM-5H128,GTEX-11DXX-0326-SM-5PNWC,GTEX-11EM3-0626-SM-5H12Z,GTEX-11I78-0826-SM-5A5K4,GTEX-11LCK-0926-SM-5A5KA,GTEX-11TT1-1326-SM-5PNYM,GTEX-11ZUS-0226-SM-5FQT8,GTEX-1211K-0626-SM-5FQUZ,GTEX-12696-1126-SM-5FQTI,GTEX-12WSD-1126-SM-5EGJD,GTEX-12WSG-0526-SM-5FQTH,GTEX-12WSK-0626-SM-5LZUJ,GTEX-12WSN-5001-SM-7DHMK,GTEX-13112-0426-SM-5PNVC,GTEX-131XF-5001-SM-7DHLY,GTEX-131XG-0626-SM-5GCMP,GTEX-132AR-2026-SM-5IJG4,GTEX-132NY-1726-SM-5EGKK,GTEX-132QS-0426-SM-5KLZ6,GTEX-1399R-1926-SM-5K7X8,GTEX-1399S-1026-SM-5KLZ9,GTEX-1399U-0526-SM-5K7YM,GTEX-13CF3-0726-SM-5J2MY,GTEX-13D11-1726-SM-5IFGQ,GTEX-13FH7-0926-SM-5J2MR,GTEX-13FTW-1026-SM-5L3E3,GTEX-13O21-2326-SM-5MR3X,GTEX-13O61-0526-SM-5J2M1,GTEX-13OVG-0526-SM-5K7YD,GTEX-13OVL-0526-SM-5KLZQ,GTEX-13PVQ-1226-SM-5IJDC,GTEX-13PVR-1026-SM-5QGQW,GTEX-13QBU-0426-SM-5J2O4,GTEX-13S86-0226-SM-5S2PJ,GTEX-13U4I-0826-SM-5SIBD,GTEX-13VXT-1126-SM-5LU3A,GTEX-13W3W-0426-SM-5SI9D,GTEX-145MN-0626-SM-5QGRH,GTEX-146FH-1026-SM-5RQIF,GTEX-146FR-0626-SM-5RQJ1,GTEX-14A6H-0226-SM-5Q5DX,GTEX-14DAQ-1126-SM-664MT,GTEX-14E1K-1026-SM-73KUR,GTEX-14E6C-0426-SM-5YYA8,GTEX-14H4A-0626-SM-5ZZUT,GTEX-14PHX-2126-SM-6EU2U,GTEX-14PHY-0226-SM-5ZZWM,GTEX-14PJ4-1126-SM-5YY91,GTEX-14PJ6-0726-SM-69LOL,GTEX-14PK6-0826-SM-5ZZVO,GTEX-14PN3-0526-SM-69LQF,GTEX-14XAO-1126-SM-6EU11,GTEX-15CHC-0426-SM-6LLHI,GTEX-15CHR-0226-SM-7PC2Z,GTEX-15EOM-5007-SM-793DG,GTEX-15ER7-1726-SM-6PAMX,GTEX-15RIE-1726-SM-7KUMU,GTEX-15RJ7-0226-SM-7KUMN,GTEX-16BQI-0926-SM-6M485,GTEX-16XZY-0426-SM-793BI,GTEX-16YQH-0926-SM-793BC,GTEX-17GQL-0526-SM-72D5N,GTEX-17KNJ-0826-SM-793A4,GTEX-18A66-1226-SM-7LT8G,GTEX-18A67-1226-SM-7KFRS,GTEX-18D9B-1226-SM-72D6V,GTEX-18D9U-1126-SM-72D5Y,GTEX-1AX8Z-5007-SM-AHZ36,GTEX-1AX9J-1026-SM-72D6E,GTEX-1AYCT-0426-SM-73KVZ,GTEX-1B8KE-0126-SM-793AM,GTEX-1B932-1026-SM-793CL,GTEX-1B97J-0726-SM-7RHG3,GTEX-1B996-1126-SM-73KWN,GTEX-1C64O-0826-SM-79OKZ,GTEX-1CB4E-0526-SM-7MXTK,GTEX-1CB4G-0826-SM-7DUGF,GTEX-1CB4J-0326-SM-7PBZO,GTEX-1EMGI-1226-SM-793DD,GTEX-1EU9M-1826-SM-7DUGU,GTEX-1F5PK-0326-SM-9KNUD,GTEX-1F6I4-0726-SM-7PC2P,GTEX-1F75I-1126-SM-9WYUO,GTEX-1GF9U-0426-SM-7RHHA,GTEX-1GL5R-0326-SM-9WYTJ,GTEX-1GMR2-1426-SM-7RHHK,GTEX-1GMR3-0326-SM-7P8QT,GTEX-1GMRU-1526-SM-9WYT5,GTEX-1GN1W-0326-SM-9JGHF,GTEX-1GN73-2426-SM-7RHFQ,GTEX-1H11D-1226-SM-9WPQ2,GTEX-1HC8U-0726-SM-ACKXL,GTEX-1HCUA-0526-SM-A9SMH,GTEX-1HFI7-0826-SM-A9G23,GTEX-1HSGN-1126-SM-CJI4G,GTEX-1HSMO-1226-SM-CL548,GTEX-1HSMQ-0226-SM-C1YQL,GTEX-1I6K7-0626-SM-ARL7Q,GTEX-1IDJE-0326-SM-CM2TD,GTEX-1IDJF-0726-SM-CJI1U,GTEX-1IDJI-1026-SM-A96TE,GTEX-1IDJU-0726-SM-CNPQ9,GTEX-1IKOE-1026-SM-ARZMF,GTEX-1J8EW-0926-SM-A9G33,GTEX-1J8Q3-1226-SM-CKZPT,GTEX-1J8QM-0426-SM-AHZ3X,GTEX-1JK1U-0526-SM-CYPSQ,GTEX-1JMLX-1626-SM-ARZMV,GTEX-1K9T9-1126-SM-D3L9E,GTEX-1KANC-0426-SM-CXZK5,GTEX-1KD5A-1026-SM-CY8I8,GTEX-1KXAM-1326-SM-E9TJW,GTEX-1L5NE-0426-SM-E9TIX,GTEX-1LC47-1026-SM-D3LAH,GTEX-1LGOU-0726-SM-E9TIY,GTEX-1LGRB-1126-SM-CNPP2,GTEX-1LH75-0426-SM-E9TJF,GTEX-1LSNM-0526-SM-DIPG6,GTEX-1LVAN-1726-SM-CNNR1,GTEX-1MCC2-0326-SM-EV7AK,GTEX-1MUQO-1226-SM-E9TJK,GTEX-1OFPY-1026-SM-EXUSO,GTEX-1OKEX-0726-SM-DPRYE,GTEX-1QCLZ-0926-SM-E6CQZ,GTEX-1QP29-1526-SM-EXUSY,GTEX-1QP2A-1126-SM-EVR3H,GTEX-1QPFJ-1026-SM-E6CR6,GTEX-1R9JW-0526-SM-EWRNK,GTEX-1R9K5-1326-SM-E6CPR,GTEX-1RB15-0326-SM-E6CQB,GTEX-1RMOY-0626-SM-E9TIE,GTEX-1S3DN-0726-SM-E9TIO,GTEX-N7MS-0826-SM-2HML4,GTEX-N7MT-1326-SM-2I3FV,GTEX-NFK9-0926-SM-2HMJU,GTEX-NPJ8-0426-SM-2HMK6,GTEX-O5YT-0326-SM-32PKA,GTEX-O5YW-0326-SM-2I5EI,GTEX-OHPK-0326-SM-2HMJO,GTEX-OHPL-0326-SM-33HC8,GTEX-OHPM-0326-SM-33HCA,GTEX-OIZF-0326-SM-3MJGY,GTEX-OIZH-0326-SM-2HMKC,GTEX-OOBJ-0326-SM-33HBO,GTEX-OXRK-0826-SM-2HMK7,GTEX-OXRL-0326-SM-2I3F2,GTEX-P4PP-0326-SM-33HC4,GTEX-P4PQ-0326-SM-2HMJ8,GTEX-P4QS-0326-SM-2I3EU,GTEX-P78B-0426-SM-2I5F5,GTEX-PLZ5-0626-SM-2I5F8,GTEX-POMQ-0326-SM-2I5FO,GTEX-PSDG-0926-SM-2I5FP,GTEX-PWCY-0526-SM-5P9HG,GTEX-PX3G-0326-SM-2I3EO,GTEX-Q2AH-0526-SM-2I3ED,GTEX-QDVJ-0426-SM-2I5FW,GTEX-QDVN-0326-SM-2I3FS,GTEX-QEG4-0426-SM-33HC3,GTEX-QESD-0526-SM-2I5G5,GTEX-QLQ7-0526-SM-2I5G3,GTEX-QMRM-0526-SM-2I5GA,GTEX-QV44-0526-SM-2S1RE,GTEX-R53T-0926-SM-3GADH,GTEX-R55C-0326-SM-3GAF1,GTEX-R55E-1026-SM-2TC5S,GTEX-R55G-0526-SM-2TC5O,GTEX-RU72-0326-SM-2TF5T,GTEX-RUSQ-0526-SM-2TF72,GTEX-RWS6-0326-SM-2XCAP,GTEX-RWSA-0626-SM-2XCBD,GTEX-S32W-0626-SM-2XCBG,GTEX-SE5C-0626-SM-2XCDV,GTEX-SNMC-0126-SM-2XCFO,GTEX-SUCS-0326-SM-32PLL,GTEX-T6MN-0926-SM-32PLX,GTEX-U3ZH-0326-SM-3DB7A,GTEX-U3ZN-1426-SM-3DB87,GTEX-U4B1-0326-SM-3DB8K,GTEX-U8XE-1126-SM-3DB8W,GTEX-UJHI-0426-SM-3DB8Y,GTEX-UJMC-0526-SM-3GAE3,GTEX-V955-0726-SM-3GAFG,GTEX-WEY5-0426-SM-3GIKT,GTEX-WFG7-0726-SM-3GIKO,GTEX-WFG8-0626-SM-3GILJ,GTEX-WFON-0326-SM-3GIKX,GTEX-WH7G-0426-SM-3NMBJ,GTEX-WHPG-0826-SM-3NMBF,GTEX-WHSE-0926-SM-3NMBS,GTEX-WHWD-0426-SM-3LK83,GTEX-WY7C-0526-SM-3NB3D,GTEX-WYJK-1026-SM-3NM8W,GTEX-WZTO-1326-SM-3NM8X,GTEX-X3Y1-0426-SM-3P5Z4,GTEX-XBED-0526-SM-47JY3,GTEX-XGQ4-0326-SM-4GIEE,GTEX-XPT6-0126-SM-4B65S,GTEX-XPVG-0826-SM-4B654,GTEX-XQ3S-0626-SM-4BOOB,GTEX-XQ8I-0126-SM-4BOPL,GTEX-XV7Q-0826-SM-4BRV7,GTEX-XXEK-0926-SM-4BRWH,GTEX-Y114-0226-SM-4TT8W,GTEX-Y3I4-0626-SM-4TT7A,GTEX-Y3IK-0826-SM-51MT8,GTEX-Y5V5-0626-SM-4VBPX,GTEX-Y5V6-0826-SM-4VBRU,GTEX-Y8E4-0326-SM-4VBRR,GTEX-YB5K-0126-SM-5IFJ2,GTEX-YEC3-0726-SM-CMKFH,GTEX-YEC4-0326-SM-4W216,GTEX-YF7O-0426-SM-5P9FS,GTEX-ZAB5-0226-SM-5CVMH,GTEX-ZDTT-0726-SM-4WKFK,GTEX-ZDXO-0726-SM-57WBT,GTEX-ZDYS-0226-SM-5HL4K,GTEX-ZF29-0226-SM-4WKHO,GTEX-ZF2S-1026-SM-9QEGK,GTEX-ZF3C-1226-SM-4WWCB,GTEX-ZG7Y-0926-SM-5EQ6O,GTEX-ZGAY-0326-SM-57WF5,GTEX-ZPCL-0426-SM-DNZZ4,GTEX-ZPIC-0826-SM-4WWFJ,GTEX-ZPU1-0626-SM-4YCDM,GTEX-ZTPG-1226-SM-4YCDO,GTEX-ZUA1-0826-SM-4YCDL,GTEX-ZV7C-0326-SM-57WB1,GTEX-ZVT2-1026-SM-5GU55,GTEX-ZVZP-0226-SM-5NQ73,GTEX-ZYFG-0426-SM-5E43M,GTEX-ZYT6-1726-SM-5E44P,GTEX-ZZPU-0926-SM-5GZYT
ATP1A1,85.73,101.6,71.39,114.7,288.0,240.7,114.8,303.7,43.31,201.2,86.48,48.48,209.3,172.0,171.7,33.39,70.59,423.8,206.3,82.63,137.6,54.27,168.2,86.84,365.1,110.9,263.6,81.52,71.49,116.1,79.3,45.14,72.91,82.83,139.8,349.6,111.3,99.7,281.4,233.2,144.9,80.13,88.44,32.57,77.64,96.18,176.8,47.22,101.6,130.3,80.15,127.5,77.23,554.7,77.5,67.31,409.6,45.15,246.6,109.2,76.02,86.72,72.77,366.4,123.5,254.5,171.1,171.2,86.99,112.9,96.75,65.42,124.4,77.67,80.98,119.1,61.15,107.5,32.62,131.1,94.78,100.8,50.3,33.48,102.9,142.9,99.46,58.96,132.8,140.0,331.3,60.52,121.2,58.97,112.8,105.3,59.01,287.5,151.5,221.7,62.03,127.7,108.4,137.8,176.9,79.67,162.1,144.8,116.6,71.66,193.9,100.1,82.72,107.5,191.5,271.4,89.89,187.9,249.0,195.3,103.6,88.55,109.5,93.96,101.0,83.81,91.5,126.0,120.5,49.76,76.6,87.37,86.12,101.5,43.91,20.31,32.64,186.6,199.8,57.95,68.81,129.8,64.89,54.56,149.8,40.73,111.5,73.68,53.89,101.7,483.2,79.46,229.3,58.83,60.49,140.1,75.1,152.6,251.0,449.3,55.37,123.8,82.78,79.45,79.32,86.29,67.34,41.43,225.3,163.9,208.9,67.37,101.6,164.4,190.7,83.51,267.0,59.41,55.14,87.08,231.8,218.2,106.6,113.6,61.56,60.84,256.4,92.92,50.37,136.4,112.8,219.6,113.6,195.8,62.01,48.35,62.25,189.0,113.7,69.72,36.22,56.71,49.74,350.3,136.2,117.8,113.7,57.49,39.09,88.95,40.37,374.1,76.61,122.8,319.9,80.13,93.31,36.35,137.2,81.07,90.19,13.41,170.1,101.9,112.2,231.0,70.68,246.4,9.687,100.1,79.45,100.9,84.34,9.151,103.4
ATP2A2,726.0,937.9,517.8,743.6,353.4,673.2,538.9,1100.0,612.2,880.0,808.0,210.5,601.2,607.2,653.3,160.3,751.1,474.5,731.1,759.3,783.3,387.0,960.4,583.6,637.2,1117.0,1076.0,603.1,700.3,860.9,524.4,406.9,170.9,726.1,659.3,1395.0,703.1,499.8,552.1,556.9,763.7,420.4,571.2,95.92,658.1,295.4,887.3,477.3,963.8,786.9,676.0,1078.0,436.2,764.1,877.9,849.1,1127.0,169.9,1257.0,850.4,468.1,625.5,434.5,300.5,831.4,1001.0,1741.0,717.3,497.4,1018.0,859.3,813.5,872.8,601.3,489.0,319.9,195.9,582.4,195.5,670.4,492.4,497.6,374.8,260.1,718.7,673.8,703.9,574.1,725.3,375.6,722.4,448.9,463.7,380.6,1291.0,822.4,569.8,168.5,341.5,700.0,485.6,442.7,514.4,669.4,1343.0,451.6,781.0,515.4,1010.0,150.4,91.25,1080.0,504.3,626.5,899.0,375.7,501.9,716.5,890.3,381.4,455.5,561.1,823.3,1003.0,468.6,677.8,449.0,424.5,649.2,480.2,254.6,727.6,750.4,742.5,144.2,14.54,377.9,237.4,1734.0,746.8,493.2,700.3,589.0,805.2,741.5,482.3,696.2,608.2,645.7,665.0,458.9,361.7,214.1,791.3,397.7,547.8,482.6,1063.0,886.2,1200.0,448.9,910.3,866.6,789.3,892.1,970.2,990.3,351.3,1586.0,1196.0,682.5,608.3,407.1,1587.0,1011.0,787.0,662.7,321.4,439.1,514.6,1059.0,614.9,921.1,985.7,1325.0,707.7,858.5,1173.0,888.8,551.4,743.6,647.2,1429.0,505.5,487.8,565.1,687.7,956.0,772.3,369.5,436.8,473.1,256.5,234.0,769.0,1170.0,380.3,422.2,225.5,738.3,278.8,227.0,792.2,348.9,399.4,742.1,679.5,299.8,844.4,696.0,600.2,10.54,682.3,496.6,556.4,277.3,706.9,1009.0,8.232,757.5,757.2,981.6,700.2,13.29,1154.0
CACNA1C,10.25,15.07,14.74,11.91,13.5,17.21,11.73,12.33,13.34,13.97,14.62,14.13,15.83,15.72,15.95,10.78,18.64,16.36,15.33,14.92,26.79,6.656,18.16,12.44,23.71,17.88,21.56,13.27,10.83,12.03,12.75,13.59,7.677,12.22,11.98,21.0,19.84,12.38,17.75,13.64,15.77,12.3,13.57,7.328,13.22,8.253,17.32,9.696,21.55,13.59,15.11,19.57,11.85,15.21,15.65,11.45,21.12,7.982,11.66,20.54,10.24,23.42,10.97,16.84,17.87,19.64,16.38,14.68,15.91,21.51,18.65,15.87,14.24,27.53,12.63,9.413,14.32,13.93,9.955,11.85,15.16,11.17,12.58,7.088,10.98,12.54,12.11,8.144,15.52,18.51,17.61,10.59,13.77,13.88,22.76,10.82,10.94,11.46,12.45,16.84,11.78,15.1,14.08,15.07,15.73,19.59,15.57,15.17,12.1,8.585,7.656,13.64,8.084,12.71,14.31,14.04,13.56,13.21,20.9,9.463,7.913,11.36,13.23,19.61,11.64,10.47,10.84,13.72,13.5,10.73,13.45,15.5,14.24,8.949,8.69,0.9232,9.955,10.17,23.18,8.417,13.87,14.35,7.64,12.03,12.38,12.28,13.67,12.76,8.297,13.74,8.722,9.517,11.22,21.97,9.768,20.21,14.79,23.99,15.5,47.06,8.688,14.09,17.45,14.89,14.5,15.16,10.57,7.711,19.49,13.75,27.19,10.58,7.536,20.51,13.77,10.66,21.77,13.87,10.85,17.04,14.55,17.89,16.27,13.45,13.78,10.64,13.18,12.95,10.64,12.17,13.21,7.67,16.16,10.44,11.45,11.7,16.42,16.96,11.31,11.28,10.69,8.509,6.751,9.817,10.32,10.47,7.3,11.61,7.268,13.24,7.799,12.95,11.47,8.629,22.77,11.45,12.41,8.82,12.61,12.42,14.57,1.207,21.75,10.88,12.58,26.6,10.63,33.07,1.241,14.3,10.18,15.32,15.18,1.438,16.4
KCND3,8.082,5.595,11.26,8.286,4.345,10.2,11.48,4.716,5.9,10.68,4.693,4.669,6.362,9.891,10.31,3.197,11.09,11.88,5.892,6.896,11.26,4.525,10.72,8.284,11.06,6.653,9.72,8.99,8.465,12.32,8.966,7.56,2.248,9.769,10.98,9.793,9.02,6.002,5.631,8.1,7.422,6.501,5.001,2.428,6.057,3.158,6.045,7.67,9.105,12.64,6.708,5.397,8.963,8.339,8.099,4.996,9.935,2.762,7.124,8.016,5.839,8.983,7.174,9.303,14.47,9.591,13.79,7.951,14.58,11.14,14.54,7.587,13.58,6.569,8.118,4.77,2.961,4.714,4.837,4.254,5.076,5.587,4.752,3.196,5.625,6.562,15.17,8.528,5.205,5.739,8.311,5.729,5.69,4.353,16.47,7.146,5.488,6.843,8.616,6.796,6.059,6.284,4.986,6.069,6.055,6.706,10.29,7.203,7.844,2.949,5.304,10.89,5.933,11.83,7.178,4.443,6.393,9.734,8.279,9.246,7.436,7.98,10.68,12.04,7.484,7.571,10.44,6.916,11.41,4.872,5.052,7.504,10.47,5.7,4.379,0.7402,5.092,4.166,10.35,4.195,6.189,9.795,10.56,7.133,10.98,6.643,6.994,9.044,4.675,10.99,10.18,4.183,7.821,7.877,7.617,6.334,6.296,11.31,8.916,16.92,5.232,5.05,14.35,11.18,7.567,8.127,11.43,3.788,7.109,5.739,5.873,10.5,5.76,8.035,11.34,10.52,16.75,6.886,7.407,6.73,7.46,9.303,10.37,14.02,12.48,5.681,11.62,8.207,9.449,5.068,6.954,5.094,10.89,10.0,10.85,8.657,11.59,13.11,5.338,4.015,5.26,6.041,3.652,4.235,6.108,8.139,6.826,8.777,4.426,9.582,3.748,5.309,9.285,9.709,10.57,6.43,9.63,5.298,8.433,11.15,4.631,0.2174,9.222,7.312,7.206,3.961,5.249,5.678,0.163,8.3,7.875,12.7,10.08,0.4142,8.769
KCNH2,33.84,39.57,43.87,42.4,51.85,55.99,42.32,11.51,39.18,50.39,35.18,26.25,24.19,58.94,39.05,14.47,53.04,74.81,20.14,48.96,39.46,23.04,55.07,37.09,54.23,42.91,51.21,56.4,55.22,49.88,37.62,36.17,13.12,35.62,55.17,26.55,33.73,33.56,67.69,64.95,57.75,41.45,30.74,10.42,41.72,11.96,28.57,40.65,45.57,38.53,39.9,27.04,40.94,66.0,53.29,27.24,23.19,16.01,46.51,52.91,31.68,35.13,25.4,79.15,43.98,65.61,50.32,46.42,55.5,37.63,47.11,36.34,45.77,38.72,44.45,21.18,25.66,36.92,16.84,29.25,31.17,37.11,33.29,19.43,42.23,39.46,42.47,30.12,39.27,33.69,83.74,27.61,46.34,23.96,53.2,40.72,35.75,21.57,49.69,69.43,24.77,55.89,41.85,50.35,47.38,32.37,48.5,77.42,42.87,18.63,17.93,54.26,25.92,50.45,51.46,11.47,51.54,39.94,37.33,32.94,26.56,37.19,53.91,48.82,43.67,32.05,47.48,41.93,56.98,35.4,30.23,35.7,44.31,41.05,16.38,0.8536,27.6,18.67,34.4,26.6,31.38,26.86,23.26,42.72,52.99,34.96,49.24,47.05,15.74,44.74,24.85,36.03,36.19,35.69,29.94,59.23,31.44,57.72,47.68,47.55,20.13,16.74,43.99,32.25,33.08,36.77,24.42,26.43,81.0,32.58,14.1,26.22,17.87,40.64,72.7,25.6,86.58,42.81,21.77,50.95,42.37,17.24,52.44,49.12,20.29,32.63,32.49,24.13,33.17,45.88,35.34,13.29,53.99,52.09,41.69,36.49,40.25,53.39,35.21,35.44,33.09,29.04,26.78,42.76,15.07,43.59,37.14,30.65,20.44,38.08,27.54,56.59,43.97,40.54,85.93,44.35,42.09,30.82,38.46,44.9,36.09,2.601,34.97,37.79,41.46,86.15,30.67,22.33,0.6918,46.67,38.38,38.52,40.14,1.648,46.42
KCNIP2,177.7,133.1,83.12,243.7,36.12,30.65,64.13,166.3,273.7,50.68,83.27,56.01,240.6,35.38,5.152,112.3,393.9,21.24,205.7,263.1,12.6,17.66,182.6,210.4,11.2,195.7,105.0,76.04,327.0,101.1,70.28,241.3,35.05,81.69,20.36,248.3,164.0,96.31,14.69,5.577,17.59,79.95,502.9,57.46,257.9,27.48,80.27,256.6,222.2,162.8,184.9,151.2,129.6,96.53,313.1,175.0,112.3,75.82,145.2,19.97,145.0,118.4,212.5,27.91,13.21,18.96,149.9,22.35,129.2,113.3,183.7,199.9,252.0,306.3,26.69,67.41,125.4,76.47,173.1,41.3,19.7,13.91,142.7,175.0,159.6,7.072,53.72,47.89,230.6,9.501,71.14,90.76,31.9,253.6,84.5,109.3,123.5,43.07,6.374,86.58,197.3,38.3,152.9,53.73,246.0,57.7,8.121,6.835,138.4,16.71,11.66,289.5,95.43,13.08,35.98,88.6,100.7,14.8,329.7,157.4,68.2,12.59,173.4,259.0,55.03,60.06,26.34,50.89,17.41,309.8,78.75,7.837,141.0,289.1,35.88,6.547,151.5,105.1,171.6,243.3,35.7,51.97,224.9,275.7,41.02,184.1,33.02,263.7,118.4,56.14,54.53,135.8,46.48,194.7,309.4,72.51,21.01,149.5,82.89,228.3,75.46,164.9,103.3,231.2,445.7,393.4,214.5,260.0,197.7,157.9,83.78,96.69,150.2,252.5,44.48,157.0,18.78,42.08,89.04,57.9,125.0,115.9,164.0,132.6,247.7,206.4,144.2,176.3,160.8,49.34,75.09,191.8,169.1,123.4,250.0,263.4,99.98,62.16,134.4,179.1,102.2,178.0,176.2,49.9,74.14,146.3,2.817,49.36,62.04,212.9,123.7,40.27,244.3,8.686,15.6,342.4,97.1,102.2,58.33,134.7,93.58,6.585,78.34,92.59,22.29,70.93,152.2,243.8,3.041,73.74,10.39,106.3,240.6,6.342,184.9
KCNJ2,9.223,8.081,6.885,4.537,3.154,9.094,6.015,7.667,6.795,7.237,2.799,11.36,3.829,7.002,7.509,4.714,9.75,8.504,10.49,10.37,8.595,6.593,5.684,9.277,9.607,11.49,4.201,8.942,9.548,9.479,7.045,6.427,1.418,9.152,7.242,15.91,20.12,11.29,2.864,4.97,6.894,5.379,4.402,12.51,14.15,2.9,10.73,4.985,6.8,6.257,12.16,9.824,11.14,2.873,7.809,6.89,8.638,5.175,8.749,10.04,7.18,5.657,5.716,7.373,16.06,9.256,7.591,4.51,9.431,14.46,8.35,9.404,11.82,13.79,11.74,2.666,6.116,7.414,5.484,2.477,8.8,10.75,9.299,6.236,7.074,5.784,12.06,8.418,6.9,10.31,5.631,6.349,7.748,7.91,11.49,7.05,5.252,4.99,6.56,4.684,14.17,6.259,17.49,6.229,9.501,13.63,6.638,8.055,6.766,4.3,3.051,8.643,4.915,7.57,8.573,4.974,8.339,8.445,6.106,4.162,11.64,10.2,9.433,8.808,4.118,12.4,11.5,4.98,9.358,16.1,9.824,5.799,10.37,3.326,4.898,0.8019,4.143,2.769,13.26,6.433,4.768,5.497,9.933,9.141,12.93,8.828,11.11,5.443,8.611,7.672,7.562,7.762,4.726,11.91,6.614,8.917,15.87,11.6,8.214,7.893,9.304,3.414,8.893,7.69,20.07,21.8,9.783,3.733,9.466,13.86,7.373,4.455,2.762,12.07,5.333,11.46,7.017,9.79,11.27,11.79,5.661,2.555,27.73,6.73,10.03,2.954,7.879,8.369,14.3,3.95,8.426,1.07,11.02,6.968,11.07,9.511,6.65,4.766,6.666,5.689,4.023,5.791,3.6,4.157,5.339,12.91,4.558,29.01,9.603,5.538,6.594,2.975,5.738,6.374,9.271,9.724,6.989,2.161,4.742,6.835,11.54,0.7893,8.161,6.468,10.95,4.988,8.339,5.986,0.5808,10.42,6.419,8.399,10.04,0.7216,8.827
KCNQ1,17.35,19.74,14.57,16.75,8.961,25.18,17.4,34.23,18.27,16.63,17.89,14.58,21.7,27.44,22.81,9.879,20.8,22.73,15.42,24.56,19.82,12.59,21.82,17.87,29.91,14.55,26.03,15.34,19.48,18.87,20.94,17.76,12.66,13.28,19.71,12.27,18.67,13.87,13.61,26.08,25.18,18.75,29.08,8.49,16.61,19.1,23.21,14.95,21.22,20.89,15.92,13.29,15.22,12.44,20.66,10.14,51.79,8.505,21.71,24.91,18.16,18.79,17.31,29.95,21.54,31.99,18.89,26.42,20.88,18.79,22.2,21.44,16.74,23.48,18.19,16.75,10.3,16.33,10.9,30.66,22.35,21.24,14.15,12.46,21.79,21.22,15.35,12.56,18.38,22.65,15.43,12.12,27.68,15.0,26.71,18.43,16.44,3.194,20.78,23.95,10.11,40.62,19.2,17.82,30.57,20.23,25.34,37.02,22.6,14.21,5.386,19.76,17.92,22.52,21.92,10.02,23.26,12.16,30.83,14.54,12.3,15.71,24.7,24.71,24.11,16.74,21.54,14.83,21.39,12.88,17.13,22.93,15.27,18.5,13.38,0.8864,13.5,13.23,23.07,14.99,17.58,11.47,11.86,15.47,26.46,16.47,14.92,20.81,6.838,16.0,20.7,17.87,13.16,18.65,13.11,21.92,14.57,24.66,29.69,33.86,11.83,16.08,16.44,14.09,17.2,15.51,13.38,13.14,44.59,21.05,14.8,10.81,10.18,24.64,24.0,10.1,35.88,17.68,9.699,22.18,23.34,15.92,19.94,19.81,10.09,12.53,14.54,18.1,17.3,20.69,16.33,19.85,28.04,15.23,19.41,19.31,18.43,21.66,16.44,11.23,13.72,14.93,8.789,6.726,12.0,22.11,17.41,13.89,9.594,15.71,13.51,7.431,18.81,17.39,18.66,15.3,19.96,12.48,23.23,15.2,22.76,2.722,15.47,18.52,21.87,15.99,16.55,16.35,1.585,22.56,16.94,16.18,15.08,1.549,20.65
